time,development,timeCode,countryName,countryCode,agriculturePercentGDP,electricPowerConsumption,gdpGrowth,gdpPerCapita,gdpPerCapitaPPP,industryPercentGDP,manufacturingPercentGDP,individualsUsingInternetPercent,accessToElectricityPercent,governmentExpenditureEducationPercent,mobileCellularSubscriptionsPerHundred,birthLifeExpectancyMale,birthLifeExpectancyFemale,consumerPriceIndex
1990,1,YR1990,Burundi,BDI,51.05685018,..,3.49982214,329.157781,1087.488728,17.32687566,11.81980421,0,0.348627061,3.359329939,0,46.345,49.738,10.48491308
1990,1,YR1990,Cabo Verde,CPV,14.39070453,..,0.692171874,941.8014247,1656.907503,30.06553625,12.60799887,0,32.55810165,..,0,63.18,66.371,48.0521844
1990,,YR1990,Cambodia,KHM,..,..,..,..,..,..,..,0,0.01,..,0,51.213,55.922,..
1990,1,YR1990,Cameroon,CMR,23.99487034,200.1669965,-6.105697646,1349.632654,3020.491911,28.75507128,14.17621103,0,30.12971687,3.287100077,0,50.778,53.66,46.949945
1990,3,YR1990,Canada,CAN,..,16109.27998,0.154346036,36489.26635,31299.65457,..,..,0.360999701,100,5.991990089,2.108015548,74.26,80.65,67.27962221
1990,1,YR1990,Cayman Islands,CYM,..,..,..,..,..,..,..,0,100,..,0,..,..,..
1990,1,YR1990,Central African Republic,CAF,45.26774675,..,-2.147528066,468.6909238,925.0538529,18.70160992,10.705281,0,0.01,2.244199991,0,46.602,50.999,49.71034483
1990,1,YR1990,Chad,TCD,27.8887351,..,-4.178472373,517.1346399,1110.43798,16.8754214,13.72107812,0,0.01,..,0,45.798,48.106,43.51498094
1990,,YR1990,Channel Islands,CHI,..,..,..,..,..,..,..,..,100,..,..,72.688,78.285,..
1990,1,YR1990,Chile,CHL,7.542353314,1240.661247,3.333565473,5947.764828,8991.846477,35.91043579,16.95184288,0,92.257427,2.250159979,0.105126576,70.575,76.661,29.99170908
1990,1,YR1990,China,CHN,26.58430812,510.6198549,3.907113896,730.772489,1526.408699,41.03398995,..,0,92.21601105,..,0.001562461,67.721,71.002,40.44026517
